# Simulation run on Fri Jan 08 18:06:24 CET 2021
time, populationF, populationM, births, immigrationsF, immigrationsM, deathsF, deathsM, emigrationsF, emigrationsM
451, 833023, 824781, 41877, 110, 119, 10462, 10261, 7014, 6920
452, 836816, 828583, 42219, 133, 115, 10588, 10378, 6936, 6965
453, 840784, 832360, 42399, 136, 133, 10353, 10432, 7008, 7126
454, 844185, 836061, 41981, 128, 137, 10568, 10420, 7006, 7146
455, 847825, 839750, 42384, 125, 133, 10574, 10594, 7148, 6992
456, 851417, 843652, 42594, 127, 105, 10551, 10568, 7203, 7008
457, 855020, 847268, 42979, 121, 129, 10759, 10907, 7174, 7164
458, 858465, 851199, 43129, 125, 128, 10721, 10796, 7350, 7132
459, 861784, 855030, 43131, 120, 143, 10959, 10778, 7298, 7204
460, 865005, 858451, 42901, 123, 120, 10738, 10917, 7567, 7277
461, 868394, 862206, 43103, 134, 122, 10910, 10801, 7241, 7258
462, 872100, 865591, 43328, 128, 123, 10713, 10950, 7445, 7373
463, 875836, 869631, 44034, 136, 127, 10976, 10909, 7329, 7303
464, 879816, 873397, 44335, 133, 119, 10941, 11235, 7293, 7364
465, 884001, 876721, 44293, 131, 119, 10843, 11250, 7431, 7504
466, 887920, 880337, 44481, 123, 134, 11270, 11128, 7401, 7395
467, 891698, 884152, 44837, 120, 116, 11148, 11184, 7515, 7627
468, 895505, 887589, 44664, 119, 117, 11130, 11365, 7587, 7571
469, 899391, 891498, 45032, 134, 120, 11135, 11233, 7541, 7577
470, 903399, 895358, 45194, 127, 113, 11060, 11324, 7607, 7567
471, 907620, 898974, 45597, 134, 116, 11244, 11513, 7616, 7630
472, 911537, 903185, 45895, 147, 130, 11457, 11360, 7810, 7412
473, 915877, 907281, 46148, 130, 139, 11336, 11331, 7585, 7721
474, 920047, 911356, 46105, 140, 120, 11412, 11584, 7667, 7450
475, 924157, 915260, 46121, 140, 131, 11285, 11617, 7720, 7750
476, 928467, 919270, 46671, 122, 114, 11481, 11631, 7801, 7670
477, 932553, 923513, 46769, 128, 123, 11469, 11632, 7814, 7769
478, 936556, 927174, 46926, 120, 126, 11620, 12033, 7983, 7867
479, 940475, 930803, 46860, 131, 121, 11721, 12071, 7900, 7867
480, 944661, 934821, 47272, 124, 114, 11567, 11783, 8097, 7851
481, 948904, 938733, 47691, 138, 131, 11747, 12061, 7989, 7999
482, 953239, 942725, 47706, 110, 137, 11750, 11939, 8083, 7847
483, 957100, 946867, 47800, 137, 135, 11955, 11918, 8133, 8054
484, 961258, 951439, 48312, 107, 131, 11842, 11939, 8155, 7878
485, 965618, 955775, 48706, 115, 115, 11904, 12109, 8137, 8086
486, 969911, 960067, 48793, 129, 148, 12098, 12143, 8121, 8118
487, 974113, 963759, 48511, 117, 134, 12134, 12401, 8269, 8053
488, 978171, 967898, 48747, 123, 109, 12060, 12249, 8281, 8183
489, 982467, 971687, 48829, 107, 127, 12151, 12412, 8210, 8202
490, 986345, 976246, 49198, 149, 104, 12219, 12250, 8466, 8074
491, 990456, 980620, 49717, 121, 120, 12412, 12318, 8412, 8324
492, 994693, 984793, 49657, 122, 146, 12253, 12531, 8453, 8273
493, 998719, 988919, 49629, 132, 142, 12495, 12553, 8362, 8336
494, 1002948, 993110, 50393, 116, 132, 12495, 12740, 8397, 8584
495, 1007336, 997351, 50166, 112, 124, 12406, 12504, 8422, 8436
496, 1011203, 1001397, 50295, 155, 129, 12724, 12819, 8620, 8501
497, 1015344, 1005420, 50562, 141, 138, 12691, 12819, 8547, 8616
498, 1019530, 1009883, 51004, 110, 115, 12750, 12675, 8722, 8429
499, 1024204, 1014184, 51043, 146, 116, 12623, 12627, 8474, 8599
